GEOID,FInStrength,Econ_Inequ,Educ_Attain,Mean_Age,Mean_Risk,CAN_per10000,distance2FB,dist2SNAPretail,evic_rate1000
3.5001E+11,105.6300824,89.48879357,114.3335482,5.846154,3.307692,315.5339806,1747.833873,510.2735044,16.56867985
3.5001E+11,106.2609441,85.31444211,115.8686023,8.416667,2.833333,510.6382979,2487.714947,615.7516068,9.385665529
3.5001E+11,95.99333378,95.07534417,116.6198081,4.5,3.875,280.7017544,2428.090385,590.5112174,1.792114695
3.5001E+11,122.0346075,78.58625097,117.9631129,6.666667,3.666667,221.1302211,2020.062552,506.2304276,0.605326877
3.5001E+11,115.8794479,75.46053694,118.9300561,14,3,205.1282051,1943.328905,317.4734283,0
3.5001E+11,112.4964811,86.51669102,115.325575,2.666667,3.166667,306.122449,2424.601369,351.5547915,0.796812749
3.5001E+11,132.9665503,66.67102054,122.061284,0,0,0,0,368.6406551,1.307189542
3.5001E+11,107.5520963,96.39277315,107.5798923,4.888889,2.722222,295.5665025,3319.644231,694.7754568,3.816793893
3.5001E+11,126.1134301,104.0459671,119.5276625,6.272727,3.424242,1764.705882,3673.225737,492.5590174,21.35231317
3.5001E+11,103.0283137,112.7012359,114.2479562,7.2,2.88,932.8358209,3082.629614,384.7397245,30.45431852
3.5001E+11,114.2359646,72.86448447,118.7292776,6,2,74.07407407,5795.353118,750.9938272,0.811030008
3.5001E+11,112.0126644,108.5863493,116.0289825,7.857143,2.714286,222.2222222,5801.42116,412.5185347,0
3.5001E+11,119.202228,76.01812304,113.4182086,14,3,70.67137809,5817.815428,796.9814888,0.797448166
3.5001E+11,107.8926967,83.7972284,106.1075772,5.8,2.8,543.4782609,2964.39183,411.8013955,4.975124378
3.5001E+11,87.55291427,141.8325449,105.2256242,7,2.56,1186.046512,2604.78047,1242.4786,24.47676481
3.5001E+11,94.30797448,109.8352372,115.0510573,3.631579,2.421053,1111.111111,3037.323723,331.298098,28.94635276
3.5001E+11,111.699398,92.03161469,120.7703464,4,2,42.01680672,5469.554051,802.4667541,6.41025641
3.5001E+11,132.4570495,69.34467815,111.1256351,0,0,0,5593.78347,635.532487,1.455604076
3.5001E+11,147.8988217,70.70026409,111.4198246,0,0,0,5445.796485,540.5884043,0
3.5001E+11,96.3986275,103.4655172,113.7136956,4.8125,2.625,946.7455621,1724.725414,637.8758229,6.741573034
3.5001E+11,96.95324732,105.314417,107.0460552,7.5,2.166667,312.5,1932.052346,565.8575518,4.733727811
3.5001E+11,97.12855792,116.3457905,102.9330278,5.4,3.5,1169.590643,1505.782994,725.4858351,8.818342152
3.5001E+11,102.0515522,81.25394651,116.042443,8.321429,3.071429,1255.605381,1534.091458,612.0688164,4.379562044
3.5001E+11,116.6504528,81.12200386,115.6636526,7,2,365.8536585,3245.412375,602.8116427,1.941747573
3.5001E+11,106.0525241,99.57493675,119.4340707,4.95,2.65,589.9705015,2930.463061,781.900081,22.0625962
3.5001E+11,124.0281348,75.17162443,117.2003715,8.666667,2.666667,322.5806452,2987.045056,392.7535842,22.76176024
3.5001E+11,125.4483658,80.61323447,110.6087032,3.25,3.25,201.0050251,2677.002657,611.0977476,6.729475101
3.5001E+11,80.59293367,138.2031302,105.5336967,6.9,2.9,341.2969283,1999.467928,323.7281879,14.70588235
3.5001E+11,105.7663253,99.32820911,108.3508651,6.857143,2.857143,869.5652174,2459.43145,681.5369201,2.521008403
3.5001E+11,106.3005326,81.36272204,121.2113687,2,3,153.8461538,2300.577028,497.2909361,3.992015968
